Image Display and Exploration,Image Display and Exploration,Image File I/O,Image Types and Type Conversions
GUI Tools,Modular Interactive Tools,Navigational Tools for Image Scroll Panel,Utilities for Interactive Tools
Spatial Transformations and Image Registration,Spatial Transformations,Image Registration,
Image Analysis and Statistics,Image Analysis,Texture Analysis,Pixel Values and Statistics
Image Arithmetic,,,
Image Enhancement and Restoration,Image Enhancement,Image Restoration (Deblurring),
Linear Filtering and Transforms,Linear Filtering,Linear 2-D Filter Design,Image Transforms
Morphological Operations,Intensity and Binary Images,Binary Images,Structuring Element Creation and Manipulation
"ROI-Based, Neighborhood, and Block Processing",ROI-Based Processing,Neighborhood and Block Processing,
Colormaps and Color Space,Color Space Conversions,,
Utilities,Validation,Array Operations,Performance
,,,
Make movie from multiframe image                    ,immovie ,:done:`immovie`,:partial:`immovie`
"Play movies, videos, or image sequences           ",implay  ,:na:`n/a`,
Display image                                       ,imshow  ,,
Image Tool                                          ,imtool  ,,
Display multiple image frames as rectangular montage,montage ,,
Display multiple images in single figure            ,subimage,,
Display image as texture-mapped surface             ,warp    ,,
,                                                                  ,,
Read metadata from header file of Analyze 7.5 data set             ,analyze75info,,
Read image data from image file of Analyze 7.5 data set            ,analyze75read,,
Anonymize DICOM file                                               ,dicomanon    ,,
Get or set active DICOM data dictionary                            ,dicomdict    ,,
Read metadata from DICOM message                                   ,dicominfo    ,,
Find attribute in DICOM data dictionary                            ,dicomlookup  ,,
Read DICOM image                                                   ,dicomread    ,,
Generate DICOM unique identifier                                   ,dicomuid     ,,
Write images as DICOM files                                        ,dicomwrite   ,,
Read high dynamic range (HDR) image                                ,hdrread      ,,
Write Radiance high dynamic range (HDR) image file                 ,hdrwrite     ,,
Read metadata from Interfile file                                  ,interfileinfo,,
Read images in Interfile format                                    ,interfileread,,
Check if file is R-Set                                             ,isrset       ,,
Create high dynamic range image                                    ,makehdr      ,,
Read metadata from National Imagery Transmission Format (NITF) file,nitfinfo     ,,
Read image from NITF file                                          ,nitfread     ,,
Open R-Set file                                                    ,openrset     ,,
Create reduced resolution data set from image file                 ,rsetwrite    ,,
Render high dynamic range image for viewing                        ,tonemap      ,,
,,,
Convert Bayer pattern encoded image to truecolor image,demosaic,,
Convert grayscale or binary image to indexed image,gray2ind,,
Convert grayscale image to indexed image using multilevel thresholding,grayslice,,
Global image threshold using Otsu's method,graythresh,,
"Convert image to binary image, based on threshold",im2bw,,
Convert image to double precision,im2double,,
Convert image to 16-bit signed integers,im2int16,,
Convert image to Java buffered image,im2java2d,,
Convert image to single precision,im2single,,
Convert image to 16-bit unsigned integers,im2uint16,,
Convert image to 8-bit unsigned integers,im2uint8,,
Convert indexed image to grayscale image,ind2gray,,
Convert indexed image to RGB image,ind2rgb,,
Convert label matrix into RGB image,label2rgb,,
Convert matrix to grayscale image,mat2gray,,
Convert RGB image or colormap to grayscale,rgb2gray,,
,,,
Image Information tool,imageinfo,,
Adjust Contrast tool,imcontrast,,
Display Range tool,imdisplayrange,,
Distance tool,imdistline,,
Pixel Information tool,impixelinfo,,
Pixel Information tool without text label,impixelinfoval,,
Pixel Region tool,impixelregion,,
Pixel Region tool panel,impixelregionpanel,,
,,,
Magnification box for scroll panel,immagbox,,
Overview tool for image displayed in scroll panel,imoverview,,
Overview tool panel for image displayed in scroll panel,imoverviewpanel,,
Scroll panel for interactive image navigation,imscrollpanel,,
,,,
Convert axes coordinates to pixel coordinates,axes2pix,,
Image data from axes,getimage,,
Image model object from image object,getimagemodel,,
Information about image attributes,imattributes,,
Create draggable ellipse,imellipse,,
Create draggable freehand region,imfreehand,,
Get handle to current axes containing image,imgca,,
Get handle to current figure containing image,imgcf,,
Open Image dialog box,imgetfile,,
Get all image handles,imhandles,,
"Create draggable, resizable line",imline,,
Create draggable point,impoint,,
"Create draggable, resizable polygon",impoly,,
Create draggable rectangle,imrect,,
Region-of-interest (ROI) base class,imroi,,
Add function handle to callback list,iptaddcallback,,
Check validity of handle,iptcheckhandle,,
Get Application Programmer Interface (API) for handle,iptgetapi,,
Retrieve pointer behavior from HG object,iptGetPointerBehavior,,
Directories containing IPT and MATLAB icons,ipticondir,,
Create pointer manager in figure,iptPointerManager,,
Delete function handle from callback list,iptremovecallback,,
Store pointer behavior structure in Handle Graphics object,iptSetPointerBehavior,,
Align figure windows,iptwindowalign,,
Create rectangularly bounded drag constraint function,makeConstrainToRectFcn,,
Adjust display size of image,truesize,,
,,,
Create checkerboard image,checkerboard,,
Find output bounds for spatial transformation,findbounds,,
Flip input and output roles of TFORM structure,fliptform,,
Crop image,imcrop,,
Image pyramid reduction and expansion,impyramid,,
Resize image,imresize,,
Rotate image,imrotate,,
Apply 2-D spatial transformation to image,imtransform,,
Create resampling structure,makeresampler,,
Create spatial transformation structure (TFORM),maketform,,
Apply spatial transformation to N-D array,tformarray,,
Apply forward spatial transformation,tformfwd,,
